2018-12-22__20:36:09 0.64 68.00 36.00°C note
2018-12-22__20:36:15 0.63 33.00 36.00°C normal
2018-12-22__20:36:20 0.65 20.00 38.00°C normal
2018-12-22__20:36:26 0.66 68.00 38.00°C note
2018-12-22__20:36:32 0.66 6.00 37.00°C normal
2018-12-23__09:24:03 average:0.65 0.73  8.00 22.00°C normal
2018-12-23__09:24:09 average:0.59 0.72  2.00 21.00°C normal
2018-12-23__09:24:14 average:0.55 0.71  3.00 22.00°C normal
2018-12-23__09:24:20 average:0.62 0.72  1.00 22.00°C normal
2018-12-23__09:24:25 average:0.57 0.70  0.00 22.00°C normal
2018-12-23__09:24:31 average:0.61 0.71  4.00 22.00°C normal
2018-12-23__09:24:36 average:0.56 0.70  11.00 22.00°C normal
2018-12-23__09:24:42 average:0.51 0.68  1.00 22.00°C normal
2018-12-23__09:24:48 average:0.47 0.67  17.00 22.00°C normal
2018-12-23__09:24:53 average:0.51 0.68  10.00 22.00°C normal
2018-12-23__11:33:02 1.39 1.09 1.04 3.00 49.00°C normal
2018-12-23__11:33:07 1.60 1.14 1.06 2.00 48.00°C normal
2018-12-23__11:33:13 1.55 1.13 1.06 0.00 48.00°C normal
2018-12-23__11:33:19 1.43 1.12 1.05 4.00 48.00°C normal
2018-12-23__11:33:24 1.47 1.13 1.06 8.00 49.00°C normal
2018-12-23__11:33:30 1.35 1.11 1.05 10.00 49.00°C normal
2018-12-23__11:33:36 1.25 1.09 1.04 30.00 49.00°C normal
2018-12-23__11:33:41 1.27 1.11 1.05 8.00 48.00°C normal
2018-12-23__11:33:47 1.17 1.09 1.04 18.00 49.00°C normal
2018-12-23__11:33:52 1.16 1.09 1.04 21.00 49.00°C normal
2018-12-23__11:33:58 1.06 1.07 1.04 17.00 49.00°C normal
2018-12-23__11:34:04 0.98 1.05 1.03 14.00 49.00°C normal
2018-12-23__11:34:09 0.90 1.03 1.03 7.00 49.00°C normal
2018-12-23__11:34:15 0.83 1.01 1.02 43.00 49.00°C normal
2018-12-23__11:34:21 0.76 1.00 1.01 44.00 49.00°C normal
2018-12-23__11:34:30 1.01 1.05 1.03 25.00 49.00°C normal
2018-12-23__11:34:36 0.93 1.03 1.02 2.00 49.00°C normal
2018-12-23__11:34:41 0.79 0.99 1.01 3.00 49.00°C normal
2018-12-23__11:34:47 0.72 0.98 1.01 13.00 49.00°C normal
2018-12-23__11:34:52 0.67 0.96 1.00 13.00 49.00°C normal
2018-12-23__11:34:58 0.61 0.95 0.99 20.00 49.00°C normal
2018-12-23__11:35:05 0.56 0.93 0.99 48.00 50.00°C normal
2018-12-23__11:35:11 0.84 0.98 1.01 39.00 50.00°C normal
2018-12-23__11:35:16 1.16 1.05 1.03 26.00 49.00°C normal
2018-12-23__11:35:22 1.15 1.05 1.03 25.00 49.00°C normal
2018-12-23__11:35:28 1.05 1.03 1.02 13.00 49.00°C normal
2018-12-23__11:35:33 1.13 1.04 1.03 13.00 49.00°C normal
2018-12-23__11:35:40 1.04 1.03 1.02 50.00 51.00°C note
2018-12-23__11:35:46 1.36 1.09 1.04 31.00 50.00°C normal
2018-12-23__11:35:51 1.46 1.12 1.05 26.00 51.00°C normal
2018-12-23__11:35:57 1.50 1.14 1.06 27.00 49.00°C normal
2018-12-23__11:36:03 1.38 1.12 1.05 21.00 50.00°C normal
2018-12-23__11:36:08 1.43 1.13 1.06 27.00 50.00°C normal
